id,name
2164,Roland Emmerich
11395,John Pasquin
278,Frank Darabont
9905,Danny Boyle
87078,Scott McGehee
87078,David Siegel
12527,Tomás Gutiérrez Alea
12527,Juan Carlos Tabío
20306,George Huang
36614,Kevin Dowling
36614,Geoff Burton
27993,Kelly Makin
31439,Zhang Yimou
9067,Rachel Talalay
9059,Ernest R. Dickerson
193,David Carson
25066,Rusty Cundieff
46797,Brian Gilbert
12122,John Carpenter
11381,Peter Segal
32636,Louis Malle
36141,Steven Soderbergh
95963,Preston A. Whitmore II
1587,Lasse Hallström
9271,Brett Leonard
2064,Jon Turteltaub
19855,Jon Avnet
60855,Mina Shum
236,P.J. Hogan
48287,Melanie Mayron
3049,Tom Shadyac
2759,Stephan Elliott
12635,Iain Softley
10497,Roman Polanski
11382,Woody Allen
9331,Phillip Noyce
10731,Joel Schumacher
10464,Jessie Nelson
34152,Spike Lee
9495,Alex Proyas
29973,Ron Shelton
888,Brian Levant
13,Robert Zemeckis
712,Mike Newell
16295,John Singleton
48992,Darnell Martin
10879,Charles Shyer
10660,Andrew Bergman
10714,Stephen Sommers
41647,Ray Müller
8587,Roger Allers
8587,Rob Minkoff
1689,Bernardo Bertolucci
11596,Wes Craven
854,Chuck Russell
9359,Richard Donner
23333,Alan Rudolph
36593,Peter Segal
12280,Ron Howard
2788,Ben Stiller
10427,John Dahl
11011,Donald Petrie
49803,Robert Allan Ackerman
8987,Curtis Hanson
1637,Jan de Bont
15128,Ron Underwood
8831,Peter Hyams
36955,James Cameron
10449,Luis Mandoki
10395,Mike Nichols
12160,Lawrence Kasdan
40480,Damian Harris
52038,Suri Krishnamma
29444,Jefery Levy
26352,Keenen Ivory Wayans
39953,Robert Lee King
39953,Brian Sloan
39953,Raoul O'Connell
41580,Yves Angelo
315,Russ Meyer
22067,Doug McHenry
18242,Dave Borthwick
11667,Steven E. de Souza
32502,Wallace Wolodarsky
267188,Michael A. Nickles
28732,Paul Warner
75555,Vincent Robert
42981,Theodore Thomas
278939,Lucas Platt
291731,Ross Kagan Marks
226229,Paul Williams
203119,Robert Wuhl
172923,Roberto Sneider
316098,Jack Baxter
316098,Jefri Aalmuhammed
8011,Andrew Morahan
171857,Michael Corrente
2654,John Carpenter
18069,John G. Avildsen
19092,Jeff Pollack
2758,Barry Sonnenfeld
38129,Thomas Schlamme
10436,Martin Scorsese
13595,Michael Lehmann
46094,Paul Michael Glaser
9409,John Badham
11853,Jonathan Kaplan
16771,Whit Stillman
46924,Bill Forsyth
11041,Penelope Spheeris
306,John Landis
14522,Caroline Thompson
26203,Michael Apted
178,Stephen Hopkins
19819,William Friedkin
57834,Tony Richardson
4722,Abel Ferrara
18215,Jennifer Chambers Lynch
1607,Robert De Niro
26391,Adam Resnick
117553,John Whitesell
6075,Brian De Palma
11310,Paul Weiland
18658,Mick Jackson
9350,Renny Harlin
9612,Steve Barron
2124,Richard Rush
26261,Michael Ritchie
19176,Gregg Champion
49299,Abel Ferrara
11566,Ivan Reitman
9571,Richard Linklater
9739,Marco Brambilla
24257,Bruce Brown
34444,Gus Van Sant
26141,Carl Reiner
10997,Chen Kaige
50463,Donald Petrie
10443,Peter Weir
20239,Rusty Cundieff
16297,Alek Keshishian
18551,Steve Kloves
25440,John Irvin
9024,Barry Sonnenfeld
37233,Sydney Pollack
1634,Simon Wincer
13815,Boaz Yakin
5503,Andrew Davis
35588,Walter Hill
2087,Roger Donaldson
41579,Howard Deutch
18620,Rose Troche
41006,Bruce Beresford
4916,Sidney Lumet
2019,John Woo
31642,Oliver Stone
9255,Jim Abrahams
26271,Julianna Lavin
10612,Christopher Monger
2259,Bille August
16097,Eric Meza
11934,Joel Coen
106143,James L. Brooks
12475,"Daniel Petrie, Jr."
9386,Wolfgang Petersen
7984,Jim Sheridan
59930,Matty Rich
15765,Brian Gibson
31643,Barry Levinson
6,Stephen Hopkins
329,Steven Spielberg
10909,Dominic Sena
507,Roger Avary
34024,Steven Soderbergh
29918,Daniel Petrie
9593,John McTiernan
42580,James Lapine
22317,Simon Wincer
22317,Paul Hogan
22317,Greg Coote
1413,David Cronenberg
12121,Richard Benjamin
2246,Harold Becker
10502,Mel Gibson
10440,Woody Allen
9516,Albert Hughes
9516,Allen Hughes
2320,Stuart Baird
5879,Nagisa Ōshima
83718,Tom Noonan
11971,Kenneth Branagh
2625,Mike Figgis
31911,Anthony Minghella
788,Chris Columbus
21450,Mike Leigh
11231,Christopher Cain
41588,Michael Tolkin
10447,Martin Campbell
