popularidad,titulos
0.04221311645800428,the bridges of madison county
0.007193308095751873,nobody loves me
0.04896268976838426,muppet treasure island
0.006921145936285719,catwalk
1.1919199914056891e-06,headless body in topless bar
0.14724448176163052,braveheart
0.09997608497674389,taxi driver
0.08735851217962735,rumble in the bronx
0.020838131461651914,before and after
0.0026358388290895853,margaret's museum
0.008894752599197933,happiness is in the field
0.0017226649361501943,anne frank remembered
0.0438266071987512,the young poisoner's handbook
0.020509111880690968,if lucy fell
0.010792792953607399,steal big steal little
0.009341672932642093,race the sun
0.006131378331027938,the boys of st. vincent
0.04615713714099459,boomerang
0.048086883986127815,chungking express
0.012071460598197118,the star maker
0.0395739430908435,flirting with disaster
0.04435076820449556,the neverending story iii: escape from fantasia
0.0028774651335378206,the silences of the palace
0.0,jupiter's wife
0.004951349160488891,pie in the sky
0.015581948763361018,angela
0.004514936169349923,frankie starlight
0.08100613911162147,jade
0.002056367059934519,nueba yol
4.682542823379494e-06,sonic outlaws
0.03677781940195727,down periscope
0.00195264164163481,from the journals of jean seberg
0.003825907087651484,man of the year
0.0026191306649243446,the neon bible
1.915585700473422e-07,target
0.024133336173130016,up close & personal
0.04610532409517771,the birdcage
0.00650820951212033,virgin mary
0.014459252363360955,the brothers mcmullen
0.06570463209480976,bad boys
0.016847838741852396,the amazing panda adventure
0.052600323160726624,the basketball diaries
0.006539809581416288,an awfully big adventure
0.01247141360817041,amateur
0.13309978275981102,apollo 13
0.07231244496859286,rob roy
0.022249932312424538,the addiction
0.09450347656810876,batman forever
0.07195141382214844,belle de jour
0.014478365651794568,beyond rangoon
0.08178109994889078,blue in the face
0.038243448210913196,canadian bacon
0.09089355531556657,casper
0.03233660490302816,clockers
0.05150368582101486,congo
0.06141358532527406,crimson tide
0.02567743304818682,crumb
0.0493034866540222,desperado
0.03295484245095132,devil in a blue dress
0.10739821333179823,die hard: with a vengeance
0.05051206514626015,the doom generation
0.0037062823080378448,feast of july
0.10767833581406414,first knight
0.053735158698258206,free willy 2 - the adventure home
0.10506874760383288,hackers
0.022669736466064218,jeffrey
0.08311293573881141,johnny mnemonic
0.058060955611352875,judge dredd
0.02607852122005669,jury duty
0.03459898256290581,kids
0.07135309127074835,living in oblivion
0.02909725725162349,lord of illusions
0.0025032873933786776,love & human remains
0.018613767535785874,mad love
0.05856223601011936,mallrats
0.0498268601412008,mighty morphin power rangers: the movie
0.007165510818809447,moonlight and valentino
0.01748779335580945,mute witness
0.05476360118703312,nadja
0.09438278047945522,the net
0.06017532944420247,nine months
0.008257316625698912,party girl
0.07227040140984839,the prophecy
0.0008409775963171036,reckless
0.05802712778683489,safe
0.04789631868273998,the scarlet letter
0.12416682486803142,showgirls
0.039388471826466556,smoke
0.026548840078094035,something to talk about
0.09572016437314539,species
0.006472863408565668,the stars fell on henrietta
0.07961654486545063,strange days
0.057699591011101344,the umbrellas of cherbourg
0.01290708164931475,the tie that binds
0.07804853864294717,three wishes
0.03224834606556931,total eclipse
0.05429101909996448,"to wong foo, thanks for everything! julie newmar"
0.05313316106021795,under siege 2: dark territory
0.02043653956169044,unstrung heroes
0.005568288366992847,unzipped
0.06892178733113634,a walk in the clouds
0.11978800170484291,waterworld
0.01300413799147207,white man's burden
0.06329209380030054,wild bill
0.02643838882555711,the browning version
0.023312379994763786,bushwhacked
0.01762973825621453,burnt by the sun
0.025005282404938108,before the rain
0.08019777613554538,before sunrise
0.047087494547143414,billy madison
0.01958621816401214,the babysitter
0.02149096306837326,boys on the side
0.019050599117874205,the cure
0.016095119982994142,castle freak
0.018477193370103975,circle of friends
0.0745814775150892,clerks
0.052769107545223896,don juan demarco
0.08379670050721447,disclosure
0.0010974248582775205,dream man
0.06795346585430888,drop zone
0.005033683871799982,destiny turns on the radio
0.038900423158557046,death and the maiden
0.041158998026081174,dolores claiborne
0.06983643693454128,dumb and dumber
0.03447229849524784,eat drink man woman
0.03815058487301135,exotica
0.030660353898924252,exit to eden
0.0831447912195341,ed wood
0.06488419383405884,french kiss
0.11518748142325294,forget paris
0.018844815550310385,far from home: the adventures of yellow dog
0.07220196533700851,a goofy movie
0.058042154492440816,hideaway
0.03513863852853845,fluke
0.06338375102868726,farinelli
0.0028219131482240915,gordy
0.0006333777697187591,gumby: the movie
0.007172939034470172,the glass shield
0.06722628823812361,hoop dreams
0.06695230272486107,heavenly creatures
0.019066349489189213,houseguest
0.05663385135926202,immortal beloved
0.0677232550216831,heavyweights
0.0195518014742603,the hunted
0.03650378422536177,i.q.
0.08491739618437182,interview with the vampire
0.011315293785078012,jefferson in paris
0.0053045264055613635,the jerky boys
0.0475990197820265,junior
0.06522979387347166,just cause
0.04166989892192114,a kid in king arthur's court
0.055313133061165976,kiss of death
0.29903370478715796,star wars
0.06934289692095709,little women
0.05484638996310284,a little princess
0.005987283717781215,ladybird ladybird
0.013814473311343453,l'enfer
0.029265218643745747,like water for chocolate
0.08654097567647456,legends of the fall
0.06564204210573725,major payne
0.013197065850557159,little odessa
0.012682958122359358,mi vida loca
0.023334771063173762,love affair
0.054610850964325004,losing isaiah
0.034139227805268485,the madness of king george
0.10135984732867107,mary shelley's frankenstein
0.018140880373957523,man of the house
0.020563670599345194,mixed nuts
0.02673971045624158,milk money
0.041365611680781865,miracle on 34th street
0.008060273804738734,miami rhapsody
0.022136437407052414,my family
0.06752358713883708,murder in the first
0.020504507380247977,nobody's fool
0.04207036984950975,nell
0.004461023074024377,new jersey drive
2.3831305066260183e-05,new york cop
0.0030207651334569407,beyond bedlam
0.010396046775991935,nemesis 2 - nebula
0.005451217701646507,nina takes a lover
0.07964351205525617,natural born killers
0.035016785993702775,only you
0.028550016985569353,once were warriors
0.04573894349829568,poison ivy ii: lily
0.09702275555470546,outbreak
0.14527341502346192,leon: the professional
0.010162295657201201,the perez family
0.003278695200644761,a pyromaniac's love story
1.0,pulp fiction
0.05079119436186654,panther
0.011617275228614868,pushing hands
0.013343501735215571,priest
0.055135714351492865,quiz show
0.009192924155619404,picture bride
0.031246941714218483,queen margot
0.053535881027314144,the quick and the dead
0.0444008288441346,prêt-à-porter
0.05556317375317259,three colors: red
0.06273428943384639,three colors: blue
0.04674470403342462,three colors: white
0.0005468571489140424,"red firecracker, green firecracker"
0.008187901475723238,rent-a-kid
0.0035361924873595118,relative fear
0.009859640211288254,stuart saves his family
0.063209248266136,the swan princess
0.012410888194797303,the secret of roan inish
0.07369332684720746,the specialist
0.09455718391534056,stargate
0.06856552386465756,the santa clause
0.36640347748900887,the shawshank redemption
0.05833205355654099,shallow grave
0.009202232483171334,suture
0.012600431852478222,strawberry and chocolate
0.04163265142218971,swimming with sharks
0.009977001761870592,the sum of us
0.035877373511783245,senior trip
0.03731453813618251,to live
0.05392663922592516,tank girl
0.06707504210492844,tales from the crypt: demon knight
0.05749971028539972,star trek: generations
0.020283157905177346,tales from the hood
0.004987802046892716,tom & viv
0.04631957880839474,village of the damned
0.08492529265431488,tommy boy
0.04993767322659227,vanya on 42nd street
0.014605227088498885,the underneath
0.0043965884468699324,the walking dead
0.07371969807701731,what's eating gilbert grape
0.03680209767702031,virtuosity
0.11197263198452878,while you were sleeping
0.027722200172490694,the war
0.002632589428160634,double happiness
0.03727353041266867,muriel's wedding
0.015302493188709358,the baby-sitters club
0.0797932186251291,ace ventura: pet detective
0.05908104756542609,"the adventures of priscilla, queen of the desert"
0.0176430622189756,backbeat
0.08014964527113053,bitter moon
0.040594113087297115,bullets over broadway
0.05329632639332716,clear and present danger
0.1082848740996907,the client
0.04912066173581664,"corrina, corrina"
0.017962830230479444,crooklyn
0.11208416873562932,the crow
0.018319987636951786,cobb
0.10655202818028059,the flintstones
0.342719679616447,forrest gump
0.06377599912728754,four weddings and a funeral
0.05545714963203231,higher learning
0.0020441215009751965,i like it like that
0.025326143009767405,i love trouble
0.07996431590199066,it could happen to you
0.07600658813909918,the jungle book
0.0040277388728628466,"the wonderful, horrible life of leni riefenstahl"
0.15327937133144945,the lion king
0.04030068792655571,little buddha
0.06994969771277224,new nightmare
0.10027524979982487,the mask
0.10677012115966042,maverick
0.03361410191191204,mrs. parker and the vicious circle
0.07510553209940575,the naked gun 33⅓: the final insult
0.02841370532607604,the paper
0.04621112118393868,reality bites
0.036443840582460654,red rock west
0.046783405959336034,ri¢hie ri¢h
0.03497992161111144,safe passage
0.07456639405138843,the river wild
0.0770357330092976,speed
0.016552419953030126,speechless
0.06318521121297598,timecop
0.08084425083564589,true lies
0.03065906265226689,when a man loves a woman
0.09977127339155402,wolf
0.06581079101642524,wyatt earp
0.006465009507193727,bad company
0.0028729173911896597,a man of no importance
0.017760679180984666,s.f.w.
0.021428649775013044,a low down dirty shame
0.00037580953538547245,"boys life: three stories of love, lust, and liberation"
0.0066203635075021226,colonel chabert
0.029935375658913594,"faster, pussycat! kill! kill!"
0.0064685143195494085,jason's lyric
0.002699741349105008,the secret adventures of tom thumb
0.09637036382321905,street fighter
0.01661293827164138,coldblooded
0.0017740097276847356,desert winds
0.007856143316686801,fall time
0.0018933436220623767,the fear
0.0010016313837301419,frank and ollie
0.00286780206789321,girl in the cadillac
9.753169120151199e-05,homage
0.002141050137419152,mirage
8.00147241849605e-05,open season
0.001647389512883442,dos crímenes
0.0002527296067491278,brother minister: the assassination of malcolm x
0.04870877533640559,highlander: the final dimension
0.000705978467766702,federal hill
0.060280395772492515,in the mouth of madness
0.013390341352973074,8 seconds
0.031077625222582193,above the rim
0.12454663584910232,addams family values
0.0027883549246565382,martin lawrence: you so crazy
0.056846346571539356,the age of innocence
0.05030996376009835,airheads
0.013445247714958126,the air up there
0.09199111497431932,another stakeout
0.10389281211088337,bad girls
0.011575338091298208,barcelona
0.01974255124145633,being human
0.040245441016001686,the beverly hillbillies
0.08362316263227529,beverly hills cop iii
0.05957944749088001,black beauty
0.021295935159779504,blink
0.09332373828280571,blown away
0.04349002460165431,blue chips
0.03542166986316432,blue sky
0.046531102038298126,body snatchers
0.030529086615108843,boxing helena
0.04338056661577689,a bronx tale
0.011904045502737593,cabin boy
0.009333606188414542,calendar girl
0.06170549220697879,carlito's way
0.0610470557383931,city slickers ii: the legend of curly's gold
0.019322179506868365,clean slate
0.06973920322333763,cliffhanger
0.07606685104628369,coneheads
0.10094274627929761,color of night
0.0499591845445324,cops & robbersons
0.0304017711136459,the cowboy way
0.019154381294268746,dangerous game
0.09716429605368489,dave
0.04869860144790752,dazed and confused
0.08247616667292662,demolition man
0.0028874332739421363,the endless summer 2
0.02106822168332619,even cowgirls get the blues
0.025214506932000925,fatal instinct
0.03458447377491519,farewell my concubine
0.009533217313165728,the favor
0.06586383855080466,fearless
0.006983111586315108,fear of a black hat
0.021056011598176133,with honors
0.013449476193022874,flesh and bone
0.0028964294319725075,widows' peak
0.06007625109491687,for love or money
0.06865735136732877,the firm
0.04249332407741243,free willy
0.028159372303147998,fresh
0.07157331977344611,the fugitive
0.033006847055338254,geronimo: an american legend
0.10083944654670912,the getaway
0.01709388508293543,getting even with dad
0.005496453903225094,go fish
0.03706766170796261,a good man in africa
0.03819770118648115,guilty as sin
0.055574496993090944,hard target
0.029722532803305432,heaven & earth
0.09564585383749073,hot shots! part deux
0.01516704709016218,live nude girls
0.03781916016778204,the englishman who went up a hill but came down a mountain
0.07581900263568984,the house of the spirits
0.007058358630534446,house party 3
0.05356096101046663,the hudsucker proxy
0.012357627817562288,i'll do anything
0.04306724774279797,in the army now
0.08964926888691943,in the line of fire
0.05253470370834263,in the name of the father
0.004343108132017456,the inkwell
0.10514227771568366,what's love got to do with it
0.03237205742801063,jimmy hollywood
0.03928719410100634,judgment night
0.06287802221423858,jurassic park
0.05982673541528743,kalifornia
0.03510056094167015,killing zoe
0.03103368736242281,king of the hill
0.025854475735481684,lassie
0.06692366826601992,last action hero
0.045726101979340655,life with mikey
0.02066282699101118,lightning jack
0.04622803509619766,m. butterfly
0.03852222978318877,made in america
0.06995785668890389,malice
0.04254398067704717,the man without a face
0.06341458486370304,manhattan murder mystery
0.03731664528045303,menace ii society
0.09297765579958685,executive decision
0.06336556005929463,in the realm of the senses
0.003784544626044965,what happened was...
0.0611998556244342,much ado about nothing
0.04667342296108145,mr. jones
0.09230223447112362,mr. wonderful
0.07920841868982198,mrs. doubtfire
0.06146915859487335,naked
0.07072428962242516,the next karate kid
0.0042215890509889045,the new age
0.06891858049877851,no escape
