title,vote_average,vote_count
The Specialist,5.5,317
Stargate,6.8,942
The Santa Clause,6.3,501
The Shawshank Redemption,8.5,8358
Shallow Grave,7.0,247
Suture,6.0,7
Strawberry and Chocolate,7.1,16
Swimming with Sharks,6.7,104
The Sum of Us,6.0,21
Senior Trip,5.7,23
To Live,7.7,62
Tank Girl,5.5,140
Tales from the Crypt: Demon Knight,6.7,96
Star Trek: Generations,6.4,461
Tales from the Hood,5.4,33
Tom & Viv,5.8,8
Village of the Damned,5.6,165
Tommy Boy,6.8,321
Vanya on 42nd Street,6.1,15
The Underneath,5.6,15
The Walking Dead,6.6,4
What's Eating Gilbert Grape,7.5,943
Virtuosity,5.4,163
While You Were Sleeping,6.5,340
The War,6.3,39
Double Happiness,5.5,2
Muriel's Wedding,6.9,104
The Baby-Sitters Club,5.3,23
Ace Ventura: Pet Detective,6.4,1684
"The Adventures of Priscilla, Queen of the Desert",7.2,174
Backbeat,6.2,37
Bitter Moon,7.0,115
Bullets Over Broadway,7.0,130
Clear and Present Danger,6.4,390
The Client,6.4,287
"Corrina, Corrina",6.4,83
Crooklyn,6.7,31
The Crow,7.3,980
Cobb,6.1,29
The Flintstones,5.0,559
Forrest Gump,8.2,8147
Four Weddings and a Funeral,6.6,654
Higher Learning,6.4,49
I Like It Like That,6.3,4
I Love Trouble,5.3,41
It Could Happen to You,6.1,154
The Jungle Book,5.9,107
"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,5
The Lion King,8.0,5520
Little Buddha,6.0,76
New Nightmare,6.4,297
The Mask,6.6,2550
Maverick,6.6,490
Mrs. Parker and the Vicious Circle,6.3,20
The Naked Gun 33⅓: The Final Insult,6.4,535
The Paper,6.1,40
Reality Bites,6.5,180
Red Rock West,6.4,71
Ri¢hie Ri¢h,5.4,426
Safe Passage,4.9,7
The River Wild,6.1,214
Speed,6.8,1814
Speechless,5.5,24
Timecop,5.5,288
True Lies,6.8,1138
When a Man Loves a Woman,6.0,71
Wolf,6.0,221
Wyatt Earp,6.5,203
Bad Company,4.9,12
A Man of No Importance,6.5,2
S.F.W.,6.1,22
A Low Down Dirty Shame,6.0,31
"Boys Life: Three Stories of Love, Lust, and Liberation",2.0,1
Colonel Chabert,5.9,9
"Faster, Pussycat! Kill! Kill!",6.5,59
Jason's Lyric,5.9,9
The Secret Adventures of Tom Thumb,7.1,8
Street Fighter,4.1,330
Coldblooded,6.7,13
Desert Winds,0.0,0
Fall Time,6.3,6
The Fear,3.4,7
Frank and Ollie,7.5,4
Girl in the Cadillac,10.0,1
Homage,0.0,0
Mirage,4.0,1
Open Season,0.0,0
Dos Crímenes,5.0,1
Brother Minister: The Assassination of Malcolm X,4.0,1
Highlander: The Final Dimension,4.5,110
Federal Hill,5.0,2
In the Mouth of Madness,7.1,307
8 Seconds,7.2,22
Above the Rim,6.7,40
Addams Family Values,6.5,537
Martin Lawrence: You So Crazy,4.5,4
The Age of Innocence,7.0,172
Airheads,5.8,222
The Air Up There,5.1,42
Another Stakeout,4.9,58
Bad Girls,4.6,61
Barcelona,6.6,20
Being Human,5.0,15
The Beverly Hillbillies,5.0,86
Beverly Hills Cop III,5.5,445
Black Beauty,6.6,68
Blink,6.3,45
Blown Away,6.0,126
Blue Chips,5.7,41
Blue Sky,6.1,28
Body Snatchers,5.8,102
Boxing Helena,4.5,59
A Bronx Tale,7.4,447
Cabin Boy,4.9,28
Calendar Girl,3.7,10
Carlito's Way,7.7,805
City Slickers II: The Legend of Curly's Gold,4.9,103
Clean Slate,5.7,25
Cliffhanger,6.1,600
Coneheads,4.8,228
Color of Night,5.4,117
Cops & Robbersons,5.0,36
The Cowboy Way,5.1,38
Dangerous Game,5.4,9
Dave,6.3,205
Dazed and Confused,7.4,588
Demolition Man,6.4,1018
The Endless Summer 2,7.1,12
Even Cowgirls Get the Blues,4.2,29
Fatal Instinct,5.4,37
Farewell My Concubine,7.8,98
The Favor,3.3,6
Fearless,6.8,80
Fear of a Black Hat,5.8,11
With Honors,6.1,54
Flesh and Bone,6.2,22
Widows' Peak,4.3,3
For Love or Money,5.7,77
The Firm,6.6,513
Free Willy,6.0,429
Fresh,7.6,56
The Fugitive,7.2,1240
Geronimo: An American Legend,5.9,44
The Getaway,5.4,81
Getting Even with Dad,4.5,43
Go Fish,3.9,5
A Good Man in Africa,5.2,11
Guilty as Sin,5.6,21
Hard Target,6.1,237
Heaven & Earth,6.4,51
Hot Shots! Part Deux,6.2,463
Live Nude Girls,4.7,12
The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,83
The House of the Spirits,6.7,135
House Party 3,4.6,11
The Hudsucker Proxy,7.1,280
I'll Do Anything,5.7,18
In the Army Now,4.7,54
In the Line of Fire,6.8,392
In the Name of the Father,7.6,363
The Inkwell,3.9,5
What's Love Got to Do with It,6.9,75
Jimmy Hollywood,4.6,17
Judgment Night,6.4,79
Jurassic Park,7.6,4956
Kalifornia,6.5,209
Killing Zoe,6.1,111
King of the Hill,6.4,33
Lassie,6.1,54
Last Action Hero,6.1,725
Life With Mikey,5.1,24
Lightning Jack,5.7,40
M. Butterfly,6.6,35
Made in America,5.3,86
Malice,5.9,105
The Man without a Face,6.2,125
Manhattan Murder Mystery,7.1,169
Menace II Society,7.2,179
Executive Decision,5.8,261
In the Realm of the Senses,6.5,112
What Happened Was...,7.0,7
Much Ado About Nothing,7.2,194
Mr. Jones,5.9,35
Mr. Wonderful,5.5,11
Mrs. Doubtfire,7.0,1638
Naked,7.5,105
The Next Karate Kid,4.8,202
The New Age,4.8,5
No Escape,6.1,86
